Census Region Code,Year,Age,Race,Deaths,Population,Crude Rate
CENS-R1,2018,5-14 years,White,49,4776963,1
CENS-R1,2018,15-24 years,Asian or Pacific Islander,57,550543,10.4
CENS-R1,2018,15-24 years,Black or African American,86,1191815,7.2
CENS-R1,2018,15-24 years,White,571,5412365,10.5
CENS-R1,2018,25-34 years,Asian or Pacific Islander,44,721172,6.1
CENS-R1,2018,25-34 years,Black or African American,128,1260524,10.2
CENS-R1,2018,25-34 years,White,803,5668716,14.2
CENS-R1,2018,35-44 years,Asian or Pacific Islander,30,652605,4.6
CENS-R1,2018,35-44 years,Black or African American,68,1006373,6.8
CENS-R1,2018,35-44 years,White,822,5113696,16.1
CENS-R1,2018,45-54 years,Asian or Pacific Islander,40,551645,7.3
CENS-R1,2018,45-54 years,Black or African American,63,1006630,6.3
CENS-R1,2018,45-54 years,White,1147,5835644,19.7
CENS-R1,2018,55-64 years,Asian or Pacific Islander,28,444615,6.3
CENS-R1,2018,55-64 years,Black or African American,45,908193,5
CENS-R1,2018,55-64 years,White,1240,6345890,19.5
CENS-R1,2018,65-74 years,Asian or Pacific Islander,10,278014,Unreliable
CENS-R1,2018,65-74 years,Black or African American,21,537076,3.9
CENS-R1,2018,65-74 years,White,617,4572955,13.5
CENS-R1,2018,75-84 years,Asian or Pacific Islander,10,130086,Unreliable
CENS-R1,2018,75-84 years,Black or African American,10,265603,Unreliable
CENS-R1,2018,75-84 years,White,357,2396230,14.9
CENS-R1,2018,85+ years,White,175,1192032,14.7
CENS-R1,2019,5-14 years,Black or African American,12,1117515,Unreliable
CENS-R1,2019,5-14 years,White,47,4732489,1
CENS-R1,2019,15-24 years,Asian or Pacific Islander,44,544323,8.1
CENS-R1,2019,15-24 years,Black or African American,77,1170049,6.6
CENS-R1,2019,15-24 years,White,549,5331560,10.3
CENS-R1,2019,25-34 years,Asian or Pacific Islander,60,714403,8.4
CENS-R1,2019,25-34 years,Black or African American,120,1279513,9.4
CENS-R1,2019,25-34 years,White,813,5662159,14.4
CENS-R1,2019,35-44 years,Asian or Pacific Islander,35,658811,5.3
CENS-R1,2019,35-44 years,Black or African American,78,1012504,7.7
CENS-R1,2019,35-44 years,White,803,5129265,15.7
CENS-R1,2019,45-54 years,Asian or Pacific Islander,38,555065,6.8
